# SPDX-License-Identifier: MIT
# Copyright (C) 2018-present iced project and contributors

# one byte too long
26 26 26 26 26 26 26 26 26 26 26 26 26 26 01 CE, INVALID, INVALID, 0, code=Add_rm32_r32

# max length
26 26 26 26 26 26 26 26 26 26 26 26 26 01 CE, Add_rm32_r32, Add, 2, op0=r;esi op1=r;ecx es: enc=2601CE

26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 01 CE, INVALID, INVALID, 0, code=Add_rm32_r32
26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 01, INVALID, INVALID, 0, code=Add_rm32_r32
26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26, INVALID, INVALID, 0, code=INVALID
26 26 26 26 26 26 26 26 26 26 26 26 26 26 26, INVALID, INVALID, 0, code=INVALID
26 26 26 26 26 26 26 26 26 26 26 26 26 26, INVALID, INVALID, 0, code=INVALID err=NoMoreBytes

26 26 26 26 26 26 26 26 26 26 26 26 26 26 B0 5A, INVALID, INVALID, 0, code=Mov_r8_imm8
26 26 26 26 26 26 26 26 26 26 26 26 26 26 B0, INVALID, INVALID, 0, code=Mov_r8_imm8

26 26 26 26 26 26 26 26 26 26 26 26 26 66 B8 5AA5, INVALID, INVALID, 0, code=Mov_r16_imm16
26 26 26 26 26 26 26 26 26 26 26 26 66 B8 5AA5, INVALID, INVALID, 0, code=Mov_r16_imm16
26 26 26 26 26 26 26 26 26 26 26 26 66 B8 5A, INVALID, INVALID, 0, code=Mov_r16_imm16
26 26 26 26 26 26 26 26 26 26 26 26 66 B8, INVALID, INVALID, 0, code=Mov_r16_imm16 err=NoMoreBytes

26 26 26 26 26 26 26 26 26 26 26 26 26 26 B8 5AA51234, INVALID, INVALID, 0, code=Mov_r32_imm32
26 26 26 26 26 26 26 26 26 26 26 26 26 B8 5AA51234, INVALID, INVALID, 0, code=Mov_r32_imm32
26 26 26 26 26 26 26 26 26 26 26 26 B8 5AA51234, INVALID, INVALID, 0, code=Mov_r32_imm32
26 26 26 26 26 26 26 26 26 26 26 B8 5AA51234, INVALID, INVALID, 0, code=Mov_r32_imm32
26 26 26 26 26 26 26 26 26 26 26 B8 5AA512, INVALID, INVALID, 0, code=Mov_r32_imm32
26 26 26 26 26 26 26 26 26 26 26 B8 5AA5, INVALID, INVALID, 0, code=Mov_r32_imm32 err=NoMoreBytes
26 26 26 26 26 26 26 26 26 26 26 B8 5A, INVALID, INVALID, 0, code=Mov_r32_imm32 err=NoMoreBytes
26 26 26 26 26 26 26 26 26 26 26 B8, INVALID, INVALID, 0, code=Mov_r32_imm32 err=NoMoreBytes
#
26 26 26 26 26 26 26 26 26 26 26 26 26 B8 5AA51234, INVALID, INVALID, 0, code=Mov_r32_imm32
26 26 26 26 26 26 26 26 26 26 26 26 26 B8 5AA512, INVALID, INVALID, 0, code=Mov_r32_imm32
26 26 26 26 26 26 26 26 26 26 26 26 26 B8 5AA5, INVALID, INVALID, 0, code=Mov_r32_imm32
26 26 26 26 26 26 26 26 26 26 26 26 26 B8 5A, INVALID, INVALID, 0, code=Mov_r32_imm32
26 26 26 26 26 26 26 26 26 26 26 26 26 B8, INVALID, INVALID, 0, code=Mov_r32_imm32 err=NoMoreBytes

26 26 26 26 26 26 26 26 26 26 26 26 26 48 B8 041526375AA51234, INVALID, INVALID, 0, code=Mov_r64_imm64
26 26 26 26 26 26 26 26 26 26 26 26 48 B8 041526375AA51234, INVALID, INVALID, 0, code=Mov_r64_imm64
26 26 26 26 26 26 26 26 26 26 26 48 B8 041526375AA51234, INVALID, INVALID, 0, code=Mov_r64_imm64
