# SPDX-License-Identifier: MIT
# Copyright (C) 2018-present iced project and contributors

-80, -128, -200, -10000000
7F, 127, 177, 1111111
-8000, -32768, -100000, -1000000000000000
7FFF, 32767, 77777, 111111111111111
-80000000, -2147483648, -20000000000, -10000000000000000000000000000000
7FFFFFFF, 2147483647, 17777777777, 1111111111111111111111111111111
-8000000000000000, -9223372036854775808, -1000000000000000000000, -1000000000000000000000000000000000000000000000000000000000000000
7FFFFFFFFFFFFFFF, 9223372036854775807, 777777777777777777777, 111111111111111111111111111111111111111111111111111111111111111
0, 0, 0, 0
0FF, 255, 377, 11111111
0, 0, 0, 0
0FFFF, 65535, 177777, 1111111111111111
0, 0, 0, 0
0FFFFFFFF, 4294967295, 37777777777, 11111111111111111111111111111111
0, 0, 0, 0
0FFFFFFFFFFFFFFFF, 18446744073709551615, 1777777777777777777777, 1111111111111111111111111111111111111111111111111111111111111111
